group,entity,sentence,span1L,span1R
literal,Brazil,"two russian-built hovercrafts , capable of carrying up to 50 tons each , will begin ferrying passengers and cargo up and down the huge river from its mouth at belem by the end of the year , brazil 's amazon affairs department said in a statement .",37.0,38.0
literal,China,"it was not until conté fused graphite with china clay that loose powdered graphite could be formed into drawing lengths , so avoiding the english monopoly on their cut lengths from borrowdale .",8.0,9.0
literal,Brazil,also due to visit brazil in september are south korean president kim young sam and german chancellor helmut kohl .,4.0,5.0
literal,Bombay,-- bombay newsroom +91-22-265 9000,1.0,2.0
literal,Canada,"france also took third place in the sprint , magali faure defeating ex-world champion tanya dubnicoff of canada 2-0 .",17.0,18.0
literal,Brazil,"professor alec jeffreys , who pioneered genetic fingerprinting , said tests on a leg bone from a grave in brazil had ` proved not absolutely , but beyond reasonable doubt and with a high level of certainty "" that the remains were those of mengele .",19.0,20.0
metonymic,Gatera,gatera said the refugees were handed over following a deal made at a meeting between the governor of zaire's north kivu region and his counterpart in the rwandan border town of gisenyi .,0.0,1.0
literal,Tehran,"banisadr , an avowed opponent of the tehran government who now lives in exile , accused top iranian leaders of personally ordering the assassination of three exiled kurdish leaders in a berlin restaurant in 1992 .",7.0,8.0
literal,West South Central,"the greatest declines in the volume of help-wanted advertising were in the new england , mountain and west south central regions .",17.0,20.0
metonymic,Sakakibara,"adding to the comments by "" mr yen "" , as sakakibara is known for his prominence in the currency market , was boj governor matsushita's remark .",11.0,12.0
literal,America,"t john yandell , one of america 's top coaches , has produced a new 60 minutes teaching video for beginners and those wishing to improve their games .",6.0,7.0
literal,South Africa,"cyril ramaphosa , secretary-general of the african national congress (anc) , who attended the summit as an observer , was cautious about the role of a post-apartheid south africa .",27.0,29.0
literal,Russia,he returned to the kremlin on thursday after a two-day break in the lakelands of northwestern russia .,16.0,17.0
literal,France,i'm calling from france .,3.0,4.0
literal,Australia,"australia 's six states and two territories are involved in heated debate over the introduction of tough new firearm laws , including the banning rapid fire weapons , after a shooting massacre in the island state of tasmania .",0.0,1.0
literal,Albuquerque,"mike cito , 17 , was expelled from st pius x high school in albuquerque after an october game in which he used the sharpened chin strap buckles to injure two opposing players and the referee .",14.0,15.0
metonymic,Kinshasa,"kinshasa opposes airdrops , apparently because the food could fall into the hands of the rebels and their local supporters .",0.0,1.0
metonymic,Israel,"us president george bush , concerned above all to hold together an anti-iraq coalition in the gulf which included key arab allies , had quite openly distanced himself from israel in recent months .",29.0,30.0
literal,London,- top dealers in the london office of u .s . bankers merrill lynch are transferring to dublin .,5.0,6.0
metonymic,China,china says taiwan spoils atmosphere for talks .,0.0,1.0
metonymic,Belgium,belgium beat turkey 2-1,0.0,1.0
literal,Montserrat,"britain said on thursday it would give 25 million pounds ($ 39 million) of development aid to the caribbean island of montserrat , where much of the population living in the south has fled to avoid a volcano .",21.0,22.0
metonymic,United States,"a less hopeful view is that the united states will now be able to use force , if necessary , to apply its national interests throughout the world without fear of challenge , and to tow the united nations obediently behind it .",7.0,9.0
literal,Russia,two key players left a brazilian championship match early on sunday because they had to catch a plane to russia to play with the national team .,19.0,20.0
literal,Greece,"a parole court ruled recently that rashid could be freed after serving 8-1/2 years , with time in pre-trial detention counted towards his term , but said he must be expelled immediately from greece .",33.0,34.0
metonymic,Britain,"the following year the baptists rejoiced in the american victory and recorded the ` confident hope that henceforth america and britain will alike and together , in every part of the world , be the friends of the oppressed and down-trodden , the champions of civil and religious freedom , and the promoters of righteousness and peace . """,20.0,21.0
literal,Sakai,"sakai officials agreed with the assessment , but said it was too early to feel relieved .",0.0,1.0
literal,New Haven,"o'brien , a winner two weeks ago in new haven for his first pro title , served for the match at 5-4 in the third set before washington came charging back .",8.0,10.0
metonymic,Spain,"if she can get that threesome together , king will feel good about her chances against the spain 's formidable duo of arantxa sanchez vicario and conchita martinez .",17.0,18.0
literal,Canada,top-seeded thomas muster of austria was beaten 6-3 7-5 by 123rd-ranked daniel nestor of canada on wednesday in his first match of the $ 2 million canadian open .,14.0,15.0
literal,Rameswaram,"some 850 refugees have landed in recent weeks at the port of rameswaram in the southern indian state of tamil nadu , home to 50 million tamil-speaking people , port officials say .",12.0,13.0
metonymic,Lebanon,lebanon sentences pro-israeli warlord to death .,0.0,1.0
metonymic,U.S.A.,"he suggested to our supervisor that we should read the ` new linguistics "" coming out of the u .s .a . , in order to arrive at the best analytic categories and techniques for analysing the language of television .",18.0,21.0
literal,Serbia,"a policeman has been shot dead in serbia 's troubled kosovo province , serbian police said on thursday .",7.0,8.0
literal,Peru,"peru 's guerrillas kill one , take 8 hostage in jungle .",0.0,1.0
metonymic,Israel,"instead , levy had simply assured baker that israel would not use the us funding in the occupied territories , and would henceforth share information regarding settlement with us officials .",8.0,9.0
literal,Doboj,""" only our physical presence in doboj will mean that the dayton peace treaty has truly been implemented , "" edhem efendija camdzic , doboj's islamic imam-in-exile , told the refugees .",6.0,7.0
literal,Taiwan,"chamorro , 66 , had complained of lower back pain since a trip to taiwan in may , when pain forced her to go to taipei university hospital for an examination .",14.0,15.0
literal,Indonesia,"hk's tsang to visit indonesia , new zealand .",4.0,5.0
metonymic,France,"the socialist cfdt union warned of "" tension and conflict "" when france returns to work after the summer break and called for a drive to create up to 500 ,000 jobs in nine months .",12.0,13.0
literal,Balkan,world soccer's governing body reinstated albania last tuesday after the balkan country's government lifted suspensions on various soccer officials .,10.0,11.0
literal,Abuja,"perry , a liberian senate member during the 1980s , returned to monrovia on august 22 after west african leaders nominated her for the job under a peace deal signed in nigeria's capital abuja five days earlier .",33.0,34.0
literal,U.S.,"anne thily , public prosecutor in the eastern city of liege where julie and melissa lived , said this was a major case involving some 50 investigators -- including two from the u .s . federal bureau of investigation .",32.0,34.0
metonymic,Ukraine,"ukraine celebrates five years of independence from kremlin rule on saturday , hailing civil and inter-ethnic peace as its main post-soviet achievement .",0.0,1.0
literal,U.S.,1908 - u .s . film director edward dmytryk born .,2.0,4.0
literal,U.S.,"sixteen of those picked up from the boat were returned to cuba but eight were taken to the united states and three to guantanamo bay , a u .s . base on cuba , until they emigrated to another nation .",27.0,29.0
metonymic,U.S.,"the city-state met u .s . opposition two years ago in its bid to host the meeting , expected to gather 4 ,000 officials from 160 countries from december 9 to 13 .",3.0,5.0
metonymic,Hong Kong,canada's minister of foreign affairs lloyd axworthy said after meeting hong kong gov .,10.0,12.0
literal,Kathmandu,"the neighbours in kathmandu called the police when they saw dheeraj , employed by the man for the past nine months , limping because of the chains .",3.0,4.0
metonymic,America,corporate america taking new view on compensation .,1.0,2.0
literal,Cyprus,"the airliner refuelled at larnaca , cyprus and landed at london's stansted airport in the early hours of tuesday .",6.0,7.0
literal,Kandahar,"when asked whether the three guards would travel back to kandahar or the afghan capital kabul , the embassy official said : "" that has not been decided , but possibly kandahar . """,10.0,11.0
literal,U.S.,"u .s . ambassador myles frechette applauded the move , saying it could prompt the clinton administration to remove colombia from a list of outcast nations that have failed to cooperate in u .s . counternarcotics efforts .",0.0,2.0
literal,France,"battery power , especially in france , means no emissions in urban areas .",5.0,6.0
literal,Salzburg,"the united states edged austria in salzburg 3-2 in the opening round in april , and then blanked japan 5-0 in nagoya last month in the semifinals .",6.0,7.0
literal,Sofia,""" the plane landed at sofia airport at 1503 (1203 gmt) after receiving a signal that there is an explosive on board , "" the official , who declined to be named told reuters .",5.0,6.0
metonymic,Jeff Bean,"canada's jeff bean , who had never finished higher than ninth in a world cup event , made his first trip to the podium taking third place with a mark of 209 .96 .",1.0,3.0
literal,Chicago,"with democrats gathering in chicago to start a convention on monday to nominate him for a second term as president , clinton plans a steady parade of events designed to highlight his leadership and dim the glow of the just-concluded republican conclave that gave a boost to rival bob dole .",4.0,5.0
literal,Northern Ireland,"the ultimate embarrassment came in 1976 when the prime minister announced the establishment of a royal commission to make a general inquiry into the law and practice relating to the provision of legal services in england , wales and northern ireland .",39.0,41.0
literal,Minneapolis,"separately , in home health said the u .s . district court in minneapolis ruled in its favor regarding the reimbursement of certain interest expenses .",13.0,14.0
metonymic,Azerbaijan,"galatasaray striker adrian knup , scorer of 26 goals in 45 internationals , has been recalled by switzerland for the world cup qualifier against azerbaijan in baku on august 31 .",24.0,25.0
literal,London,"talabani has agreed to take part in talks in london on reaching a comprehensive settlement for the puk-kdp conflict , the puk statement said .",9.0,10.0
literal,America,"` i don't know anyone in america who listens to radio anymore , "" he says .",6.0,7.0
metonymic,New Zealand,"they scored three tries in recording their highest total against new zealand , salvaging some pride in a season in which the world champions have lost five out of eight tests .",10.0,12.0
metonymic,Israel,erdmann told reporters bonn supported european union efforts to persuade israel to stop further jewish settlement on the west bank .,10.0,11.0
metonymic,Germany,"the innocence of youth will give way to the pressures of adulthood when duncan ferguson plays against germany at ibrox tomorrow night , ending a nine-month period during which his future at the highest level looked in doubt .",17.0,18.0
literal,al-Aqsa,"it is our duty towards al-aqsa to come and pray , "" jamil said .",5.0,6.0
metonymic,Poland,poland and cyprus drew,0.0,1.0
literal,China,"primary export destinations : egypt , morocco , s . korea , yemen , pakistan , mexico and china .",18.0,19.0
metonymic,Estonia,"estonia will hold the next round of an inconclusive state presidential race on september 20 , parliamentary officers of the baltic state ruled on wednesday .",0.0,1.0
metonymic,Mauritius,mauritius put on cyclone alert .,0.0,1.0
literal,Alicante,"it added bureau veritas has accredited aei iberfreight's offices at alicante , barcelona , bilbao , madrid , seville and valencia as meeting the necessary standards .",10.0,11.0
literal,Baghdad,a mujahideen khalq statement said its leader massoud rajavi met in baghdad the secretary-general of the kurdistan democratic party of iran (kdpi) hassan rastegar on wednesday and voiced his support to iran's rebel kurds .,11.0,12.0
metonymic,Egypt,""" egypt will contact the british government to find out the truth of the matter and to discuss the possible consequences of such an unfortunate step , "" he added .",1.0,2.0
literal,Boddington,"newcrest said earnings from the telfer and boddington mines were lower than the previous year due to lower head grades at the mines , forcing gold production lower .",7.0,8.0
literal,Hungary,hungary 's gross foreign debt rises in june .,0.0,1.0
literal,Dahshour,"mohammed saleh , director of the egyptian museum , told reuters television a u .s . team found the pots , some of which contain human intestines , in a tomb built into the rocks while digging in dahshour , a village 40 km (25 miles) south of cairo .",38.0,39.0
metonymic,National Alliance,"alessandra mussolini , the granddaughter of italy's fascist dictator benito mussolini , said on friday she had rejoined the far-right national alliance ( an ) party she quit over policy differences last month .",20.0,22.0
literal,Hub,- the government has suffered a loss of 11 billion rupees due to tax holidays at industrial estates in hub and gadoon .,19.0,20.0
literal,Mahala,"we think that when the word about how things are going in mahala which is about 35 minutes away by road reaches zvornik that should help , "" marriner said .",12.0,13.0
literal,Twickenham,""" campo has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said andrew , also likely to be making his final twickenham appearance .",36.0,37.0
literal,Burundi,burundi 's ambassador on wednesday lashed out at economic sanctions imposed by african states and said any thought of an arms embargo would be a windfall for guerrillas fighting his army-run government .,0.0,1.0
literal,Venezuela,venezuela non-oil exports rise 10 .6 pct in july .,0.0,1.0
metonymic,Arafat,both arafat and netanyahu have expressed willingness to meet .,1.0,2.0
metonymic,Moscow,""" a great game has been started in afghanistan as america feels that tehran and moscow have got stronger in the afghan picture -- something washington wants to change , "" he said .",15.0,16.0
literal,Riyadh,"washington's new ambassador to saudi arabia , wyche fowler , arrived in the kingdom to take up his post , the u .s . embassy in riyadh said on thursday .",26.0,27.0
literal,Cologne,but the spokesman said subsequent tests in cologne proved his body produced higher-than-average testosterone levels naturally .,7.0,8.0
literal,Britain,"michael penrose , a 23-year-old worker with the group action against hunger , described his ordeal to a news conference when he arrived back in britain from moscow .",25.0,26.0
literal,Iraq,"puk and iraq 's kurdistan democratic party (kdp) the two main iraqi kurdish factions , have had northern iraq under their control since iraqi forces were ousted from kuwait in the 1991 gulf war .",2.0,3.0
literal,Switzerland,"they are all target markets for zurich insurance , switzerland 's biggest insurer and among the world's largest .",9.0,10.0
literal,Minneapolis,in home health inc said on thursday it will appeal to the u .s . federal district court in minneapolis a decision by the health care financing administration (hcfa) that denied reimbursement of certain costs under medicaid .,19.0,20.0
metonymic,England,"surrey all-rounder adam hollioake was making his england debut , replacing lancashire batsman graham lloyd , with seamer peter martin again being omitted from the 13 .",7.0,8.0
literal,U.S.,oasis singer heads for u .s . after illness .,4.0,6.0
literal,Loretto Abbey,she was sent to loretto abbey in dublin and from there to india to begin her novitiate and teach geography at a convent school in calcutta .,4.0,6.0
literal,Chicago,casey told a news conference in chicago on tuesday he had asked to speak again this year but was turned down .,6.0,7.0
literal,Israel,"and in particular , have you any thoughts on the overnight attack on israel , the seven missiles which were fired at israel , what effects do you think this is going to have on the conflict ?",22.0,23.0
literal,Amsterdam,three dutch players have pulled out of the squad for saturday's friendly international soccer match against brazil in amsterdam .,18.0,19.0
metonymic,ENGLAND,cricket - england v pakistan final test scoreboard .,2.0,3.0
metonymic,Puerto Rico,"duran , whose 97-12 record spans three decades , hopes a win in the 10-round bout will earn him a rematch against puerto rico 's hector "" macho "" camacho .",22.0,24.0
metonymic,Victoria,former australia test batsman dean jones hit an unbeaten 130 to lead victoria 's fightback in their sheffield shield match against tasmania on saturday .,12.0,13.0
literal,Philadelphia,"economist joel naroff of first union bank in philadelphia said consumer spending , which fuels two-thirds of the nation's economy , may be much slower in the third quarter than in the first half , which should slow economic growth .",8.0,9.0
literal,White House,"such things do not happen by chance in the clinton white house , they are part of his political chess game .",10.0,12.0
literal,United States,whether the information originated in the united states ;,6.0,8.0
literal,Petrosan,"cozma is awaiting trial for assault and criminal damage in a bar in his home town of petrosan , 300 kms west of bucharest .",17.0,18.0
metonymic,India,"sri lanka , playing in front of their home crowd for the first time since winning the world cup last march , comfortably passed india 's modest 226-5 from 50 overs in 44 .2 overs .",24.0,25.0
literal,Paramount,"lockhart , based in paramount , calif . , is a designer and manufacturer of sophisticated thermal management products .",4.0,5.0
literal,China,"after the defeat of the resolution , drafted by the european union and the united states , china 's foreign ministry thanked 26 countries for backing its motion for "" no action "" on the document .",17.0,18.0
metonymic,Syria,israel plays down fears of war with syria .,7.0,8.0
metonymic,Britain,britain seemed in almost bullish mood as 1977 went out .,0.0,1.0
literal,Madrid,""" it's madness , "" said an analyst at a madrid brokerage , adding that the market had overreacted to the news . """,10.0,11.0
literal,England,"trevor holland , a 52 year-old with who has been convicted twice of gross indecency with children , was captured after being spotted in worthing , a town on england 's southern coast .",29.0,30.0
metonymic,PAKISTAN,cricket - pakistan v new zealand one-day scoreboard .,2.0,3.0
metonymic,Iran,"the daily iran on thursday quoted intelligence minister ali fallahiyan as saying agents arrested 137 people for allegedly spying for iraq , the united states and other unnamed countries in the iranian year which ended on march 19 .",2.0,3.0
literal,U.S.,"eurobonds - primary market activity was sharply lower , as players wound down ahead of monday's u .s . labour day holiday and next week's u .s . employment data .",16.0,18.0
literal,UK,"a special report on censorship in the uk by the new york times magazine in march 1989 was headed simply , ` thatcher puts a lid on "" .",7.0,8.0
literal,Long Island,"a person walking on the shore at island beach state park found the debris and alerted police who forwarded it to long island , new york , where the national transportation safety board and the fbi are conducting an investigation .",21.0,23.0
literal,Jerusalem,"netanyahu , who opposes trading occupied land for peace , made jerusalem a central issue in his election campaign , accusing labour prime minister shimon peres of planning to hand control of the arab eastern part of the city to the palestinians .",11.0,12.0
metonymic,Britain,tuc chief norman willis appealed to bosses yesterday to get britain back to work .,10.0,11.0
metonymic,China,china has pledged support for the pact since reaching a deal with the united states that made international inspections of nuclear sites more difficult than in earlier drafts of the accord .,0.0,1.0
literal,Saudi Arabia,""" if we're to stay in saudi arabia , we need to have total cooperation , "" specter said .",6.0,8.0
metonymic,Turkey,he said turkey considered jordan a suitable country with which to cooperate on middle east matters .,2.0,3.0
literal,Shannon,"he said the cargo flight originated in grand rapids , michigan , and was due to stop at stephenville for refueling before going to shannon , ireland .",24.0,25.0
metonymic,Sri Lanka,"sri lanka , playing in front of their home crowd for the first time since winning the world cup last march , comfortably passed india's modest 226-5 from 50 overs in 44 .2 overs .",0.0,2.0
literal,England,"daughter of henry viii and his second wife anne boleyn , she was queen of england 1558-1603 .",15.0,16.0
metonymic,BRAZIL,soccer - jonk returns to dutch squad for brazil friendly .,8.0,9.0
metonymic,Australia,""" we are ready to fight to our last breath -- australia must play at its absolute best to win , "" said newcombe , who described the tie as the toughest he has faced as captain .",11.0,12.0
literal,Calcutta,mother teresa spent her 86th birthday in a calcutta hospital bed on tuesday as tributes to the legendary missionary poured in from around the world .,8.0,9.0
literal,United Arab Emirates,"three afghan guards brought to the united arab emirates last week by russian hostages who escaped from the taleban militia will return to afghanistan in a few days , the afghan embassy in abu dhabi said on thursday .",6.0,9.0
literal,Ecuador,ecuador president to lunch with ethnic indians .,0.0,1.0
metonymic,England,pakistan were 473-6 at tea on the fourth day of the third and final test at the oval on sunday in reply to england 's 326 .,23.0,24.0
literal,South Africa,"education as the arena of conflict : el salvador , guatemala , honduras , south africa and namibia",14.0,16.0
literal,UAE,"the basket comprises algeria's saharan blend , indonesia's minas , nigeria's bonny light , saudi arabia's arabian light , dubai of the uae , venezuela's tia juana and mexico's isthmus .",22.0,23.0
literal,Germany,"the unification of germany protected the lifestyle of the prussian junkers - indeed , the junkers' need to protect themselves and their lifestyle from the disrupting effects of outside economic competition through the creation and extension of a tariff union had been one of the major components in the formation of the german state .",3.0,4.0
metonymic,Australia,west indies captain courtney walsh elected to bat after winning the toss in the first match in the world series limited overs competition against australia at the melbourne cricket ground on friday .,24.0,25.0
literal,Paris,"in paris , the cac-40 share index dropped 15 .09 to 2 ,002 .9 .",1.0,2.0
literal,London,one had threatened to blow it up unless it was refuelled and they were taken to london where they intended to surrender and seek political asylum .,16.0,17.0
literal,Kuwait,"they said zhirinovsky told saddam before he left baghdad on wednesday that his liberal democratic party and the russian duma (parliament) "" are calling for an immediate lifting of the embargo "" imposed on iraq after its 1990 invasion of kuwait .",40.0,41.0
literal,Ghana,"the nominees , according to diplomats , are : kofi annan of ghana , the u .n . undersecretary-general for peacekeeping ; ahmedou ould abdallah of mauritania , the former u .n . special envoy for burundi ; amara essy of the ivory coast , its foreign minister and the u .n . general assembly president in 1994-95 ; and hamid algabid of niger , the secretary-general of the organisation of the islamic conference .",12.0,13.0
literal,Zadar,zadar police said in a statement they had launched an investigation and were doing their best to find the perpetrators .,0.0,1.0
metonymic,Sweden,"norway headed the uefa fair play rankings for 1995-96 with 8 .62 points , ahead of england with 8 .61 and sweden 8 .57 .",21.0,22.0
literal,Interstate 95,"the first portion of the campaign involves pickup trucks equipped with billboards that were driving along some of the nation's busiest interstate highways during the labor day weekend , including interstate 95 on the east coast , interstates 80 and 90 in the midwest and interstate 5 in california .",30.0,32.0
literal,Amsterdam,"thai airport police arrested a british bartender for allegedly attempting to board a flight for amsterdam with nearly 4 .4 kg (9 .68 lb) of heroin in his luggage , police said on wednesday .",15.0,16.0
literal,Massachusetts,"berlex filed a lawsuit against biogen in u .s . district court in newark , n .j . in july , but biogen had already filed a suit against berlex in massachusetts in may .",31.0,32.0
metonymic,Belgium,"the k4 heats produced some very close pairs , finland and china , austria and france and portugal and belgium .",19.0,20.0
metonymic,USA,european electronics champions versus usa and japan,4.0,5.0
literal,Turkey,a small number of bosnians had also begun to vote in turkey .,11.0,12.0
literal,Russia,iraq's saddam meets russia 's zhirinovsky .,3.0,4.0
literal,Kremlin,yeltsin plans return to kremlin for dec 25 - speaker .,4.0,5.0
metonymic,Damascus,syria accused israel on wednesday of launching a hysterical campaign against it after israeli television reported that damascus had recently test fired a missile .,17.0,18.0
literal,Garamba,the foreign ministry said the 10 europeans and seven africans took a special flight from the garamba national park in northern zaire to the ugandan capital kampala where they were being looked after at the italian embassy .,16.0,17.0
metonymic,Washington,a state department statement appeared in part a response to cuban complaints that washington was jeopardising the accords by failing to return some of the cubans involved in recent illegal migration incidents .,13.0,14.0
metonymic,Estonia,"neither meri , who oversaw estonia 's first steps into statehood after the collapse of the soviet union , nor his arch-rival , former communist arnold ruutel , have secured the 68 votes necessary from the 101-member parliament .",5.0,6.0
literal,Gulf,1990 - the united states won saudi and kuwaiti pledges to help pay for forces in the gulf .,17.0,18.0
literal,Amsterdam,the dutch transport minister annemarie jorritsma told the country' second chamber that there is no further need to investigate the 1992 crash of an el al freighter which left 43 dead in an amsterdam suburb .,33.0,34.0
literal,Germany,"motor gasoline stocks dipped slightly as barges left for germany , but there were few inflows of cargoes .",9.0,10.0
literal,Lebanon,he said israel was capable of pressuring lebanon 's syrian-backed government to stop the legal pursuit .,7.0,8.0
literal,UK,"mentmore abbey , the uk stationery and housewares business formerly known as platignum , said it was making the statement in response to recent newspaper articles linking the two groups .",4.0,5.0
literal,New Mexico,"miss universe , venezuela's alicia machado , left new mexico on thursday , refusing to answer questions about her weight or claims she was told to either go on a crash diet or give up her title .",8.0,10.0
metonymic,Sweden,"in local currency terms , italian btps offered returns of 0 .85 percent in the week ended on thursday , with fellow high-yielder sweden close behind on 0 .80 percent .",23.0,24.0
literal,Texas,texas / w okla fed cattle market thin at $ 67 - usda .,0.0,1.0
metonymic,AUSTRIA,soccer - austria first division results / standings .,2.0,3.0
literal,India,"the majority of the refugees in india (housed mainly in camps in the states of tamil nadu and neighbouring orissa) had fled to escape the violence of 1990-91 , after india had abandoned its military involvement and withdrawn the indian peace-keeping force (ipkf) from the island .",6.0,7.0
literal,Timisoara,"* the international airport in timisoara and the domestic airports in arad , oradea and sibiu were closed due to fog .",5.0,6.0
literal,Twyford Down,the groups have targeted specific projects like the newbury bypass and the m3 motorway through twyford down in the southern county of hampshire .,15.0,17.0
literal,Panhandle,"trade was slow in the panhandle area friday , usda said .",5.0,6.0
literal,Zaire,"captain firmin gatera , spokesman for the tutsi-dominated rwandan army , told reuters in kigali that 17 of the 28 refugees handed over on friday from the zaire town of goma had been soldiers in the former hutu army which fled to zaire in 1994 after being defeated by tutsi forces in rwanda's civil war .",27.0,28.0
metonymic,France,alexis blanc and sebastien foucras gave france a one-two finish in the first aerials competition of the season .,6.0,7.0
literal,Arbil,"earlier on saturday , an iraqi kurd leader said both iraqi troops and kurdistan democratic party (kdp) forces were attacking the city of arbil in northern iraq .",23.0,24.0
metonymic,Mexico,"mexico - 1 - osvaldo sanchez ( 12 - alfonso rios 78th ) ; 13 - pavel pardo , 2 - claudio suarez , 5 - duilio davino ( becerril 46th ) , 4 - german villa ( 16 - gomez 86th ) ; 14 - joaquin del olmo , 6 - raul rodrigo lara ( 11 - cuauhtemoc blanco 65th ) , 8 - alberto garcia aspe , 7 - ramon ramirez ( 15 - jesus arellano 71st ) ; 18 - enrique alfaro ( 17 - francisco palencia 78th ) , 10 - luis garcia ( 19 - ricardo pelaez 69th ) .",0.0,1.0
literal,Grozny,"more than a thousand women , children and men gathered in a field to the north of the town of urus-martan on saturday to wait for a column of rebels to withdraw from the capital grozny about 25 km (12 miles) away .",35.0,36.0
literal,Austria,third seed thomas muster of austria also charged into the second round with a 6-1 7-6 (7-2) 6-2 romp over javier frana of argentina .,5.0,6.0
literal,Hungary,"analysts blame , at least partly , hungary 's macroeconomic environment for the weaker figures for cofinec which , operating in hungary , poland and the czech republic , now generates about 55 to 60 percent of its annual sales from hungary .",7.0,8.0
literal,Germany,"in june , promodes signed an outline agreement to sell its specia unit -- which runs 100 dia stores in france -- to germany 's aldi .",23.0,24.0
metonymic,Romania,romania state budget soars in june .,0.0,1.0
literal,Skhirat,"king hassan of morocco met former israeli prime minister shimon peres on thursday at the coastal resort of skhirat , 20 km (12 miles) south of rabat , an official source said .",18.0,19.0
metonymic,Soviet Union,"neither meri , who oversaw estonia's first steps into statehood after the collapse of the soviet union , nor his arch-rival , former communist arnold ruutel , have secured the 68 votes necessary from the 101-member parliament .",15.0,17.0
metonymic,New Zealand,two tries from wing jeff wilson in the first quarter gave new zealand a 24-11 lead before tries from flanker ruben kruger and scrum-half joost van der westhuizen in the space of two minutes narrowed the gap to a single point at 23-24 .,11.0,13.0
metonymic,Sardinia,""" we will then proceed with the annexation of sardinia , corsica and cyprus , "" cimicchi told reporters on saturday .",9.0,10.0
literal,Amazon,"hovercrafts will soon be plying the waters of the amazon in a bid to reduce the difficulties of transportation on the vast brazilian waterway , the government said on thursday .",9.0,10.0
literal,Greece,france's juppe on official visit to greece sep 15 .,6.0,7.0
literal,France,"banisadr , who received political asylum in france after fleeing there in 1981 , told der spiegel he did not plan to ask for a guarantee of safe conduct .",7.0,8.0
metonymic,Karabuluts,"four others were wounded in the clash , caused by a blood feud between two families , the kesers and karabuluts , serving as state-paid village guards against kurdish rebels .",20.0,21.0
literal,Durban,mulder missed the first test in durban with back spasms and failed a fitness check on thursday .,6.0,7.0
literal,County Tipperary,"- irish exploration company ivernia and its south african partner minorco have received planning permission from the local county council for a major lead and zinc mine at lisheen , county tipperary .",30.0,32.0
metonymic,North,"working in the basement of the national archives , members of the civil war conservation corps are organising the military records of volunteers who fought for the north so that they can be preserved on microfilm .",27.0,28.0
literal,Japan,japan 's agriculture ministry also announced that it will compile hygiene guidelines based on u .s . government methods of checking the safety of farm produce to prevent another outbreak of the epidemic .,0.0,1.0
literal,Vienna,"a turkish airliner on flight from istanbul to vienna on wednesday landed in emergency at sofia airport after receiving a bomb threat , said an airport official .",8.0,9.0
metonymic,India,foreign minister i .k . gujral was asked at a news conference if india 's decision to block adoption of the accord in geneva would lead to an arms race with pakistan and china .,13.0,14.0
metonymic,Boutros-Ghali,boutros-ghali on wednesday opened the door for other africans to contest his job by saying he was suspending temporarily his candidacy but was not withdrawing completely from the race .,0.0,1.0
literal,China,swedish telecoms group lm ericsson ab said on friday it won an order worth 1 .2 billion crowns for a fixed public telecoms network in the guangdong province of china .,29.0,30.0
metonymic,Europe,"as an academic , albright studied and lectured on europe 's 20th century problems before becoming u .s . ambassador to the united nations .",9.0,10.0
metonymic,Pakistan,england beat pakistan by 107 runs in the second one-day international at edgbaston on saturday to take the series 2-0 .,2.0,3.0
metonymic,Britain,"britain gave 8 .5 million pounds ( $ 13 million ) to montserrat , which is one of its dependent territories , when the volcano first became active .",0.0,1.0
metonymic,Britain,britain sets conditions to clear american alliance .,0.0,1.0
metonymic,Togo,togo beat congo 1-0 ( halftime 0-0 ),0.0,1.0
literal,Albania,the western dinaric system consists of a series of parallel limestone ranges which run behind the adriatic coast for 720 km (450 miles) from slovenia to the albanian border and continue through albania to the pindos mountains of greece .,32.0,33.0
literal,Britain,"fortunately , all the trace management staff are staying on , and kaman have a history of encouraging its subsidiary companies to retain their own product identities , so we at guitarist sincerely hope that one of britain 's brighter amp companies will be allowed the freedom to continue with the experimental stuff .",37.0,38.0
literal,Sarajevo,atlanta games silver medal winner edwards has called on other leading athletes to take part in the sarajevo meeting -- a goodwill gesture towards bosnia as it recovers from the war in the balkans -- two days after the grand prix final in milan .,17.0,18.0
literal,Ill,"zenith also said it planned to build a new $ 100 million plant in woodridge , ill .",16.0,17.0
literal,Australia,david campese will consider offers to play club rugby in england but looks more likely to spend the next year chasing business opportunities in australia .,24.0,25.0
literal,Mindanao,"the war claimed more than 125 ,000 lives in the southern mindanao island over a quarter of a century .",11.0,12.0
literal,Philippines,an agreement to bring peace to the southern philippines is set to be initialed on friday after delegates from the philippine government and the moro national liberation front ( mnlf ) concluded negotiations on the treaty which is set to end almost 25 years of conflict in the region .,8.0,9.0
literal,America,"dulles had already warned that the defeat of edc would provoke an ` agonising reappraisal "" of us defence policy , hinting at a retreat from europe to ` fortress america "" .",30.0,31.0
metonymic,Soviet Union,"the former soviet union was displaced as contractor of the potentially rich shabwa oilfields once it collapsed in december 1991 , according to the international petroleum encyclopedia .",2.0,4.0
metonymic,Jordan,the visit was kabariti's first trip outside the country since jordan was shaken by food riots earlier this month .,10.0,11.0
metonymic,England,"french centre philippe sella also enjoyed a good game alongside lynagh , although the home team scored only one try through england scrum-half kyran bracken .",21.0,22.0
