ix,sentence,left1,right1,left2,right2,relation
2867,There are numerous researches pointing out the public image of mathematics .,3,4,8,9,Message-Topic12
4556,The show tackled many serious issues .,1,2,5,6,Message-Topic12
3698,These musicians have transported the vibe into the current century .,5,6,8,10,Entity-Destination12
5624,The study report compares the genetic structure of two vastly different flowering plants to see whether differences exist in the set of circuits that create each species' flower .,1,3,5,7,Message-Topic12
1887,The mason has completed a concrete wall that creates a bathroom and storage area adjacent to a preschool classroom .,1,2,6,7,Product-Producer21
541,The authors assessed the reliability of the basic diagnostic methods in series of 181 patients with bladder tumoursas compared with operative findings .,1,2,11,12,Instrument-Agency21
1352,A woman applies the patch to the skin of her abdomen or buttock for three and a half weeks .,1,2,4,5,Instrument-Agency21
5675,These subjects were thoroughly investigated at the conference during the three seminars each of high specialist content .,1,2,7,8,Message-Topic21
6027,The disease was transmitted on to another patient by skin .,1,2,7,8,Entity-Destination12
3503,The hypermenorrhea was made worse by treatment .,1,2,6,7,Other
1160,The club consists of 902 condominium homes each with a unique golf course or lake view .,1,2,6,7,Member-Collection21
3169,Kit Hinrichs talks about his experiences in a recent interview for the One Club .,5,6,9,10,Message-Topic21
5796,"When the word got out from the paperboy , the town cheered .",2,3,7,8,Entity-Origin12
4419,Most recent books on the topic of traditional knitting contain information on Sanquhar knitting .,2,3,8,9,Message-Topic12
3078,This text indicates that the drawing was enclosed in a letter to Anna .,5,6,10,11,Component-Whole12
4967,The orchestra was in a box above the stage .,1,2,5,6,Other
992,My two friends have moved into my apartment last weekend .,2,3,7,8,Entity-Destination12
3569,Lots of people responded positively to my recent post about favorite fictional towns from children's literature .,12,13,15,16,Entity-Origin12
3775,These are just some of the questions tackled in the exhibition .,6,7,10,11,Message-Topic21
6036,Latest figures show unemployment in Wales is rising again despite falls in the previous two months .,1,2,3,4,Other
5499,"The villain sweeps the ceiling with a machine-gun , perforating Milla Jovovich , who is hiding in the ceiling duct .",1,2,7,8,Instrument-Agency21
6735,The author of this book is believed to be Nehemiah himself .,1,2,4,5,Product-Producer21
2124,The removal duplicate songs is done with the user-friendly start-up wizard .,1,2,10,11,Other
84,It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments .,4,5,6,7,Member-Collection21
2627,Its introduction supplies useful historical background .,1,2,5,6,Message-Topic12
144,The overall geometry of the heart was extracted from the intensity data .,2,3,11,12,Entity-Origin12
1480,The kids illuminated them with a candle .,1,2,6,7,Instrument-Agency21
3690,"The bending caused a fracture on the tension side of the test specimen , but the UHMP fiber ribbon held the fractured parts together .",1,2,4,5,Cause-Effect12
4209,This reflects much of the light back towards the lamp fitting .,9,10,10,11,Component-Whole21
368,The plane was in a crate and the put on a Flatbed truck and taken to the SAR Hangar .,1,2,5,6,Content-Container12
7905,"Ride Metrorail and then pick up a car just steps from the train to run errands , shop or reach any other business or social event not easily accessible via transit .",9,10,12,13,Other
6922,"Once more he is facing off against the malicious Cobra , who has released a division of irresistible infantrymen with fierce battle talents .",15,16,18,19,Member-Collection21
2474,Rabies is caused by a virus that is usually contracted through the saliva of an infected animal .,0,1,5,6,Cause-Effect21
4591,That strawberry jelly was more like strawberry glue .,1,2,2,3,Entity-Origin21
3258,"An expansion tank has a vertically set up cylinder with a float therein , which forms a separating element between water and gas in the cylinder .",2,3,8,9,Component-Whole21
698,She double clicked the mouse button by placing her finger on the left mouse-button and then quickly pressing and releasing the button two times .,4,5,5,6,Component-Whole21
3231,"It became an obsession but , frustrated at every turn , he eventually made do with a copy made by a family firm in Nottingham .",17,18,22,23,Other
1559,Teachers systematically engage students in such higher order cognitive skills as analysis and synthesis of data by using statistics .,0,1,18,19,Instrument-Agency21
6628,A digital photo frame (also called digital media frame) is a picture frame that displays digital photos without the need to print them or use a computer .,2,3,3,4,Content-Container12
1654,The coalition sprang up after the Tories released an economic statement lambasted by the opposition parties .,10,11,15,16,Other
3773,On entering the water the Esprit's wheels turned inwards to reveal four lateral fins and a periscope popped out of the roof .,16,17,21,22,Entity-Origin12
3285,"The fire is caused by overheating of connections , which is cause by its turn by poor ohmic contact .",1,2,5,6,Cause-Effect21
498,Paternally derived genetic material is inherited to the next generation .,2,4,9,10,Entity-Destination12
3462,The president of the bank has told us that most of the State banks exist by its forbearance .,1,2,4,5,Other
4517,This dryer has a sensor that is supposed to sense when the clothes are dry .,1,2,4,5,Component-Whole21
716,The team drafted a great player in 2002 when they chose Julius Peppers second overall .,1,2,5,6,Other
872,"I am grateful to a former editor of Cogito for permission to reproduce material from my article 'An introduction to infinity' , 1992 .",13,14,16,17,Entity-Origin12
7548,"Of the situation in the fifteenth century , Parkes remarks : 'The mass of the people cultivated the land< .",12,13,18,19,Other
1681,"The money was hidden in an air-conditioning system's return duct , which conveniently connected to the room behind .",1,2,8,10,Content-Container12
473,"The NRC , RSO , and the First Bank representative accessed the vault with the key .",9,10,15,16,Instrument-Agency21
1519,"The more common double horn has a fourth valve , usually operated by the thumb , which routes the air to one set of tubing tuned to F or the second set of tubing tuned to B .",4,5,8,9,Component-Whole21
5271,"Food poisoning is perhaps the commonest cause of abdominal pain , especially in the young dog or the scavenger type .",1,2,8,10,Cause-Effect12
6608,Up to 85% of viruses that cause respiratory illness are identified by the technology .,4,5,8,9,Cause-Effect12
5120,"A large wading bird rookery of egrets , herons , ibis and anhinga is along the lake edge at the east side of the park .",4,5,6,7,Member-Collection21
7671,"Since the product has made it over that first hurdle , it was blessed with another two seconds while the shopper made his purchasing decision .",20,21,24,25,Product-Producer21
940,I conducted a training seminar on energy efficiency best practices for engineers at the Pune Municipal Corporation .,9,10,11,12,Instrument-Agency12
7654,"The taste is from the ginseng , not alcohol .",1,2,5,6,Cause-Effect21
4137,The user holded the handle with one hand and used the other hand to rotate the crank of the fishing reel .,16,17,19,21,Component-Whole12
3024,Aspergillus niger was found capable of rapidly converting about 97% of the sugar from brewery spent grain liquor to fungal mass .,16,17,17,18,Entity-Origin21
7652,This is another false story fabricated by the sheriff .,4,5,8,9,Product-Producer12
5473,It is an exceptional location to see Lake Tenkiller and private plane takeoffs from runway .,11,12,14,15,Entity-Origin12
5584,"The resident , who had gone out for a short while when the thieves struck , found the padlock of the flat broken and all the household articles strewn around .",18,19,21,22,Component-Whole12
3235,The fueltruck was contained in a large box to ensure that any spilled diesel would be contained .,1,2,7,8,Content-Container12
7385,"Chicken bouillon is obtained in three different forms , either liquid , powder or in cubes .",0,1,1,2,Entity-Origin21
5151,The real rum was in a glass on a nearby shelf .,2,3,6,7,Content-Container12
5378,Last week the city had patched up the offending section of roadway .,3,4,9,10,Other
4402,"In humans , the cerebellum comprises only about one-tenth of the total volume of the brain , but more than 50 percent of all its neurons are located in the structure .",4,5,15,16,Component-Whole12
7740,"Originally , the typewriter sales companies sold the typist with the typewriter .",8,9,11,12,Instrument-Agency21
4160,"Unlike modern tunnels , the brothers placed their fan at the entrance of the tunnel .",11,12,14,15,Component-Whole12
1493,The camp is more rugged than a hotel but comes with a great lake view and the comradeship of fellow chemistry teachers .,17,18,21,22,Other
1144,The universe was made with a plan by a designer .,6,7,9,10,Product-Producer12
256,It was also home to a bale of snapping turtles and a siege of great blue herons .,12,13,16,17,Member-Collection21
7616,A sewing machine is a mechanical (or electromechanical) device that joins fabric using thread .,8,9,13,14,Instrument-Agency21
6545,OPM and others have regularly bemoaned the failure of the SES to produce a corps of generalist executives - and have regularly suggested the removal from the SES of executives with technical or professional skills and competencies .,14,15,17,18,Member-Collection21
3886,The anoxidized servewear went into the dishwasher .,2,3,6,7,Entity-Destination12
3291,"The result is an exciting melee of influences , all bound together by the unswerving class and charisma of Kinny's persona .",5,6,7,8,Member-Collection21
4654,His rival won the nod with a pledge to spend $500000 of his own money on the race .,1,2,7,8,Product-Producer21
6913,The dialect spoken in the South Karelian Region of Finland is part of the South Eastern dialects of the Finnish language .,1,2,20,21,Other
7465,"Entering the fissure created by the meteor's impact , Sephiroth merged with all the energy of the planet , granting him god-like power over it .",2,3,7,8,Other
4350,"An attorney of law and his two sons who are public prosecutors , accompanied by a mob of about 50 thugs attacked an historical Roman Orthodox church in Rasheed , Egypt .",16,17,20,21,Member-Collection21
4747,The composition forming the subject of the present invention included one or more fillers as defined above .,1,2,8,9,Other
7809,"Some of the land was farmed for coffee in the past , but it is now mostly native vegetation (with some emergent trees) .",3,4,7,8,Entity-Origin21
2063,The board meeting is rescheduled to next month .,2,3,6,8,Entity-Destination12
543,Two pillars of a bridge at Karsaz Road have collapsed today morning .,1,2,4,5,Component-Whole12
442,"Early in the book , the authors review why the groundswell is taking off and how to participate , and they identify the ""tools"" - blogs , wikis and so on - that drive the groundswell .",3,4,6,7,Product-Producer12
2788,I remember one day many years ago sitting on the top of Braich-y-Pwll on the Llyn Peninsula watching a chattering of choughs performing an amazing set of aerodynamics in the updrafts of a winter storm .,19,20,21,22,Member-Collection21
2804,His act includes everything from golden oldies to contemporary tunes .,1,2,6,7,Component-Whole21
5648,"A number of papers have emanated from this laboratory on the chemistry of dl-pinonic acid(I ,) and dl-pinolic acid(II .A) .",3,4,8,9,Entity-Origin12
6187,"This stolen property was in a trunk which was locked , and was in her room .",1,3,6,7,Content-Container12
1319,"On 29 August 1914 , C Squadron of the 12th Lancers made a successful charge against a dismounted squadron of Prussian dragoons .",18,19,21,22,Member-Collection21
430,Our objective is to review advances in the molecular biology and pharmacogenomics of lung cancer and how they apply to personalizing medicine .,5,6,9,10,Other
7930,"The developer duly writes a test case , makes the necessary code changes , ensures the test passes , checks the code in and considers the job finished .",1,2,6,7,Product-Producer21
1998,Public education systems have carried nations into prosperity .,5,6,7,8,Other
4163,"The second sentence tells us about heart disease , which is an illness of late middle age and old age .",2,3,7,8,Message-Topic12
2616,Third year student David Beer is one of those affected by the pay dispute .,12,13,13,14,Other
6355,Germany produced many of the bottle stopper marbles made by this method .,7,8,11,12,Other
5506,"Rice University and Houston-based MI SWACO , the world's largest producer of drilling fluids for the petrochemical industry , aim to develop a graphene additive .",12,13,13,14,Other
7620,"They understand the stakes from a personal perspective , as well , since the extremists have tried to assassinate them .",3,4,7,8,Other
6601,Thousands of women suffer headaches from caffeine withdrawal as a result of this study .,4,5,6,8,Cause-Effect21
4974,"Recently , marketing spending translated into revenue .",2,4,6,7,Cause-Effect12
4491,"This is , however , a decidedly intellectual book , penned by a clear master of language and intra-psychic evaluation .",8,9,14,15,Product-Producer12
3019,Another important data structure - the heap - has already been introduced in the previous chapter .,2,4,15,16,Message-Topic21
2098,He released the brake cable by detaching the retaining clip from the cable housing .,3,4,4,5,Component-Whole21
522,"Located by the river at Circular Road , Cong , between actual locations used for the filming , the ground floor of the cottage has been designed as an exact replica of 'White-o-Mornin' Cottage .",20,21,23,24,Component-Whole12
5412,Each airsoft pistol has a separate magazine for the bbs which is normally stored in the handgrip of the gun (just like the real thing) .,16,17,19,20,Component-Whole12
4793,The artist skilfully hand-carves the wood with a distinctive style which captures the beauty and the harmony of the nature .,1,2,9,10,Instrument-Agency21
2,The child was carefully wrapped and bound into the cradle by means of a cord .,1,2,9,10,Other
6345,I sent the Daily family a moving statement made by the mother of Michael Kelly .,7,8,11,12,Product-Producer12
7082,"In her emotional acceptance speech , Berry shook off the happy heaves and dedicated her prize to a sorority of splendid sisters : Dorothy Dandridge , Lena Horne , Diahann Carroll , Jada Pinkett , Angela Bassett , Viveca Fox and ""every nameless , faceless woman of color that now has a chance because this door tonight has been opened .""",18,19,21,22,Member-Collection21
6085,"Even way back in the San Francisco earthquake , most of the damage was caused by fire after the earthquake .",16,17,19,20,Cause-Effect21
5571,The act of repeated hand washing is the compulsive behavior performed in an attempt to remove the anxiety caused by the obsessive thought .,17,18,22,23,Cause-Effect21
5663,A bird has flown into the building and is flying around the atrium .,1,2,6,7,Entity-Destination12
6288,The set of hyperreal numbers satisfies the same first order sentences as R .,1,2,4,5,Member-Collection21
1714,The handwritten note was inside a plastic baggy .,2,3,6,8,Content-Container12
4411,"In order to gather experimental data , researchers explicitly defined a model describing the process .",11,12,14,15,Other
2586,Professional modelmakers often create models for many professions .,1,2,4,5,Product-Producer21
447,Much of the impetus behind the formation of the fund came from a wounded Vietnam veteran .,3,4,15,16,Entity-Origin12
5099,"Qualifying for the Champions League , and earning the extra revenue from guaranteed television money , is a major goal of top European clubs .",10,11,14,15,Entity-Origin12
6332,"The studio picked up the sci-fi action spec by tyro scribe Chad St . John , and set up the project with Gianni Nunnari (300) at his Hollywood Gang shingle .",7,8,10,11,Product-Producer12
6699,"Drawings , backgrounds and decorations are placed over the complete height of the train wagon , but don't cover the entire width of the train wagon .",13,14,14,15,Component-Whole21
4774,You carry it in a purse or pocket or attach it to your belt using the clip on the back of the alarm .,16,17,22,23,Component-Whole12
1896,The second discourse concerned the role of democracy in the new republic .,2,3,5,6,Message-Topic12
4174,I had three of the eights against a flush of clubs .,8,9,10,11,Other
2420,Peg bags are the medium sized bags that hang in the candy isle of the store .,12,13,15,16,Component-Whole12
2552,The disruption caused by the latest Christmas terrorist has added too much to the weary trip home .,1,2,7,8,Cause-Effect21
3755,The Indians drink so much maize liquor that it makes them drunk .,5,6,6,7,Entity-Origin21
4844,Salva Kiir gave a speech criticising the north for the slow progress of the country's peace agreement .,4,5,7,8,Message-Topic12
46,Adults use drugs for this purpose .,0,1,2,3,Instrument-Agency21
6320,"Like the Bosch , this dishwasher has a filter that must be manually emptied and does not include a built-in food disposal .",5,6,8,9,Component-Whole21
4562,Deuterium fueling pellets have been injected into DIII-D plasmas from five different locations .,2,3,8,9,Entity-Destination12
4841,They respond directly to these current vacancies mentioning the job code reference on the subject of the mail .,11,12,17,18,Message-Topic21
7949,The image is from the poster 'Selling Counterfeit Products is Illegal' .,1,2,5,6,Entity-Origin12
502,"It was an immense flight of gulls , seamews , and cormorants; a vast multitude of affrighted sea birds .",4,5,6,7,Member-Collection21
130,Chemical weapons have been dropped into the lake .,0,2,7,8,Entity-Destination12
3423,"They looked very closely at the white of the eye , and saw lines that look like tiny pink threads .",6,7,9,10,Component-Whole12
2134,"In the Senate , the sizzle comes from an issue ad bill from Dem Sen . Jon Erpenbach .",5,6,11,12,Cause-Effect21
5073,"But in 2004 the rupture started at the southeast end of the segment and ran northwestward , the opposite direction from those that struck in '34 and '66 .",4,5,8,10,Other
4796,"Over the next six years , the army built a wall 80 Roman miles long (117km or 73 modern miles) , some 5 metres (15 feet) high , east to west from Wallsend to Bowness .",7,8,10,11,Product-Producer21
5092,His site shows some pottery by well known potters .,4,5,8,9,Product-Producer12
1924,Our microwave has a turn-able turntable inside and dial-able knobs outside .,1,2,5,6,Component-Whole21
308,Her clothes were in a box with no lid sitting on the next higher step .,1,2,5,6,Content-Container12
6773,The older people have been moving into new homes .,2,3,8,9,Entity-Destination12
2059,The newly inaugurated president has delivered speeches to the public .,6,7,9,10,Entity-Destination12
333,"In a peep of bantam chickens , proliferative skin lesions were observed on the shanks of 6 of 29 birds , with digit necrosis observed in some birds .",2,3,5,6,Member-Collection21
3131,"Within it I found a large quantity of small smelts , besides prawns , shrimps , and a few small crabs .",6,7,9,10,Member-Collection21
4806,The man is falling into a drug addiction and needs help .,1,2,7,8,Other
884,"The market is rooted in the structure of Zanzibar household economies , and therefore proides an indispensible function in daily life .",1,2,6,7,Other
4058,The official printed slip law is available from the Government printing office .,4,5,11,12,Product-Producer12
3810,"The earthquake caused the failures of the electric power system , the water supply system , the sewer system , the telephone and telegraph systems .",1,2,4,5,Cause-Effect12
325,The executive board of this company reported on its activities and answered questions from the audience .,1,3,5,6,Component-Whole12
7862,Not sure what brand of model it came from but the wings are from a trashed plane my buddy had .,11,12,16,17,Entity-Origin12
7666,"Afterwards , stroll to a bar for a glass of 'medronho' - the national liquor made from a fleshy , red fruit grown in Portugal .",14,15,21,22,Entity-Origin12
6664,All 1000 lemote boxes have been delivered to the users .,3,4,9,10,Entity-Destination12
5277,"Formerly , the essential oil was distilled from the peel for use in perfumery .",3,5,9,10,Entity-Origin12
7737,The artist who originally made the song popular is listed for reference only .,1,2,6,7,Other
3138,Argentina was the destruction of the natural grasslands caused by the expansion of the cropping frontiers starting in 1875 .,3,4,11,12,Cause-Effect21
1297,The current debate swirling around Leather's comments seems to suggest both .,2,3,6,7,Message-Topic12
1604,"Recently , the EFCC succeeded in arresting a syndicate of internet fraudsters with the following Identity , Badiru Abidemi Adeyinka .",8,9,11,12,Member-Collection21
7364,The box contained an entire legacy of her life and the lives of those she had known and loved .,1,2,5,6,Content-Container21
7688,"The studies revealed that skin irritation from soaps , inaccessibility to supplies or sinks , and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance .",5,6,7,8,Cause-Effect21
5926,"The school convinced jurors with plans for ground-breaking research programs , such as the Karlsruhe School of Optics and Photonics .",1,2,5,6,Product-Producer21
2265,"To pass the time , he put a penny into two different coin-operated weight machines and got readings of 106 pounds and 200 pounds .",8,9,14,15,Entity-Destination12
7404,"Ribozymes , also known as catalytic RNA and molecular scissors , break down nucleic acid inside a cell , cut out bad genetic information and splice in good material .",13,15,17,18,Other
7593,"As the officer shone his flashlight on the lock he was working on , he spotted a marijuana pipe laying on the floor inside the car .",17,19,25,26,Other
5721,Part of the problem is rooted in an ill-conceived state law .,3,4,10,11,Cause-Effect21
3450,Thousands of drummers and dancers perform in the streets of Kandy accompanied by a parade of ornamented elephants .,14,15,17,18,Member-Collection21
5592,The red colobus groups went away from the chimpanzees when they were alone and no potential association partner was around .,3,4,8,9,Entity-Origin12
4528,The bomb was delivered to the unsuspected victims .,1,2,7,8,Entity-Destination12
563,The postcard took the reader into the author's past .,4,5,8,9,Other
5061,"When I read that an Irish firm of solicitors was named ""Argue and Phibbs"" I assumed that this was an urban legend .",6,7,8,9,Member-Collection21
3512,"In this issue , we focus on the value of wild trees and the varied products they provide .",2,3,8,9,Message-Topic12
4879,"Small diced pieces of peach is found in the cheesecake and whats more , a thick slice of peach jelly is hidden in between the cheesecake .",18,19,19,20,Entity-Origin21
5683,"The explosion caused a gas leak on the pipeline near the village of Pouce Coupe , south of Dawson Creek .",1,2,4,6,Cause-Effect12
4629,Only few selected people journeyed into outer space .,3,4,6,8,Entity-Destination12
1320,This manuscript describes two specific features that we have found to be effective in generating high quality models .,1,2,5,6,Message-Topic12
3527,"It took a long time to undo the damage that has been caused by the crisis of confidence , damage whose effects are just now beginning to make themselves felt in a slow , glacial collapse .",8,9,15,16,Cause-Effect21
4658,Bankers were assessing the loss caused by the poor performance of Gartmore's 340m pounds IPO this week after it needed to be scaled down and its price slashed .,4,5,9,10,Cause-Effect21
5870,A dog loose on the carriageway caused a five-vehicle crash on the M25 on Wednesday morning .,1,2,9,10,Cause-Effect12
4585,"There are many types and causes of headaches , from tension headaches due to stress to migraines triggered by certain foods .",10,11,11,12,Cause-Effect12
4227,I visited other communities the builder had built .,3,4,5,6,Product-Producer12
5396,His aim was to regain the previous high artistic level of the factory</ products .,12,13,13,14,Product-Producer21
261,There are enough gills there to serve the oxygen demands of an entire shiver of whale sharks .,13,14,16,17,Member-Collection21
5065,The weight of the groceries in a shopping basket and the number of items in a shopping basket are discrete quantities .,4,5,8,9,Content-Container12
2637,"It is no accident that the title of the exhibition is a homage to one of the classic figures of contemporaneity , Antoni Tapies , whose work breached all the boundaries imposed on artistic creation by the critics .",34,35,37,38,Other
7418,It has helped to revive a city whose primary natural resource -- its charm -- is constantly threatened with extinction from overdevelopment .,19,20,21,22,Cause-Effect21
623,"These days , with a decent income landing in my bank account from writing , and the beginnings of some success as a fiction writer , I feel I have enough of the trappings to unashamedly admit to being a writer .",23,24,24,25,Product-Producer12
5761,A suitcase with his things in it was on the doorstep .,1,2,4,5,Content-Container21
6974,"As part of their class , titled ""Sustainable Building Design ,"" the students analyze the components of the building that play a role in the structure's environmental impact , such as insulation , water usage and drainage , and the heating , ventilation and air conditioning (HVAC) system .",15,16,18,19,Component-Whole12
7281,This Appalachian region had been settled by emigrants from the lowlands .,7,8,10,11,Entity-Origin12
488,A hairdresser fine-tunes your hair color without causing excessive damage by using toners .,1,2,12,13,Instrument-Agency21
4253,"I had enough plywood left over from previous jobs to build the box , and there was a nylon tow strap stored behind the seat of the truck .",24,25,27,28,Component-Whole12
7951,The kitchen contained primarily drug paraphernalia .,1,2,4,6,Other
7455,"In the case of aerodynamic lift , the aircraft is kept in the air by wings or rotors (see aerodynamics) .",8,9,13,14,Other
6358,Pinworm infestation is very rarely fatal; death and morbidity are from secondary infection .,0,1,1,2,Cause-Effect12
3871,One of the most memorable pinots came from a tiny boutique Swiss producer .,5,6,12,13,Product-Producer21
1658,A child has been placed into foster care .,1,2,7,8,Other
1302,The sows were moved into isolated farrowing houses at least 5 days before farrowing .,1,2,7,8,Entity-Destination12
6155,This apartment has a recently redone kitchen and bathroom and gets lots of light .,1,2,6,7,Component-Whole21
6640,"First these hawks made a meal of a diving of teal , then a trimming of finches came last .",14,15,16,17,Member-Collection21
7203,"When they took the floor against a team favored to win the national championship , the patriots radiated carefree confidence .",16,17,19,20,Cause-Effect12
5533,"This Pacific Chorus frog was found in a Christmas tree being sold in Anchorage , Alaska .",3,4,9,10,Other
1429,The lowest rung of society was composed of conquered peoples brought to Tenochtitlan as slaves .,2,3,9,10,Member-Collection21
5101,"In these cases , the disappointment from the purchase is not forgotten over time , but rather accumulates .",5,6,8,9,Cause-Effect21
4625,The car has been delivered to the upholstery shop .,1,2,8,9,Entity-Destination12
6806,"A western regiment was behind it , a regiment of hunters and marksmen .",8,9,10,11,Member-Collection21
6728,"Last month , police fired shots into the air at a soccer game in eastern Congo , attempting to break up a melee of rioters who believed one of the players was a witch : 15 fans died from trampling .",22,23,24,25,Member-Collection21
3991,JISC has recently released preliminary results of one of the largest investigations ever undertaken into the usage of e-books by students .,5,6,11,12,Message-Topic21
2326,Men work inside a caisson while excavating for bridge foundations .,0,1,4,5,Other
1607,It is found that the polysilicon grows from an initial step of the deposition .,5,6,10,11,Other
3937,The wings of a bat are made of bones like those bones in our arms and hands .,1,2,4,5,Component-Whole12
3071,A small steel cube was found in a block of coal in Austria .,3,4,8,9,Content-Container12
7458,"The founders designed the constitution to transform the barbarian rule we rejected as colonies , into a civilization befitting the dignity of a free people .",1,2,4,5,Product-Producer21
6080,"Ultimately , this began to shake the confidence of people in the union of the provinces .",12,13,15,16,Member-Collection21
2320,The site contained photos of female celebrities exposing their belly buttons .,9,10,10,11,Component-Whole21
6351,Their productions have been presented at drama festivals across the country .,1,2,7,8,Component-Whole12
2535,"His work has led to new treatments for addicts , tests for drug intoxication and understanding of how heroin , other opiates and cocaine cause dependence and withdrawal .",18,19,27,28,Cause-Effect12
3246,I will need a Stevyn sized box as I have more mucus than an escargotoire of giant African land snails .,14,15,19,20,Member-Collection21
1416,This personal alarm combines two great deterrents to attack- a loud alarm and flashing light .,2,3,14,15,Component-Whole21
6665,"Some players attach a pickup to their traditional string instrument to ""electrify"" it .",1,2,4,5,Instrument-Agency21
6534,"A suitcase with clothing in it had escaped the flames , yet some of the clothing inside were ashes , while the rest remained intact .",1,2,3,4,Content-Container21
4526,"The ear is made up of three different sections : the outer ear , the middle ear , and the inner ear .",1,2,11,13,Component-Whole21
720,"But over time , indigenous students have been moving into more specialised and skill-intensive components within disciplines .",5,6,14,15,Other
3273,The boat had set sail on Wednesday from the port of Kotorr (Monte Negro) and was making to southern coast of Italy .,1,2,9,10,Entity-Origin12
2183,"The following excerpt was a part of the article : ""Some say it feels like a scene from a Norman Rockwell painting as families gather in front of the picturesque performing arts center .""",2,3,8,9,Entity-Origin12
77,This love of nature's gift has been reflected in artworks dating back more than a thousand years .,1,2,9,10,Message-Topic21
3067,Bounding pulses are caused by the relatively low systemic arterial blood pressure due to the continuous runoff of blood from the aorta into the pulmonary artery .,0,2,9,12,Cause-Effect21
2828,"It is fearful to meet in a narrow defile , or where the road winds around the edge of a precipice , a drove of reckless donkeys and mules descending the mountain , urged on by the cries and lashes of the muleteers behind .",23,24,26,27,Member-Collection21
3827,My concern is that the skin around my eyes extending to my cheek bone and on the lids are wrinkled - profoundly so .,12,13,13,14,Component-Whole21
6263,"Fungal growth and aflatoxin contamination are caused by the following factors : warm temperature , high humidity and poor soil condition .",4,5,16,17,Cause-Effect21
5756,When he clicked on the plug of the antenna and it automatically attached to the wires of the bulb socket .,5,6,8,9,Component-Whole12
6002,The regiment is composed of ten battalions of 400 heavy infantry and 50 light infantry each plus an extra unit of 1000 pikemen and 500 extra light infantry .,19,20,22,23,Member-Collection21
1277,Kidd passed Jackson on the career assists list with an alley-oop pass to Rodrigue Beaubois with 10 :53 left in the third quarter .,6,7,7,8,Message-Topic21
3224,"As he was mulling over his options , the front door of the cottage opened and someone stepped out .",10,11,13,14,Component-Whole12
3807,"The welcome speech of the conference was referred by the president of VSE prof . Ing . Richard Hindls , CSc .",1,3,5,6,Component-Whole12
3675,The current band arrived from the Lafayette competition .,2,3,7,8,Entity-Origin12
2745,Seborrheic dermatitis is one of the causes for dandruff .,1,2,8,9,Cause-Effect12
5280,"The model was approved by as the top design by a professional panel< however , it was later exhibited for the public .",8,9,12,13,Other
4240,"I bought a silver ring from a Bass Pro Shops , a hunting/fishing chain store , for $53 .",3,4,4,5,Other
7656,Maybe the most significant difference is that we have changed from emigration out of necessity to emigration in search of new opportunities .,11,12,14,15,Cause-Effect21
2667,"It is an eye which never blanched at danger , and it is the boast of his soldiers that he never looked unpityingly upon the sufferings of his followers .",14,15,17,18,Other
4485,The hairdryer was in the desk drawer .,1,2,5,7,Content-Container12
1103,A happy resident feels part of their association .,2,3,7,8,Member-Collection12
416,A friend had given her purple scraps from a clothing factory in a nearby town .,9,10,10,11,Product-Producer12
2732,The ripe bulbs are mechanically pulped to make jackfruit nectar or reduced to concentrate or powder .,8,9,9,10,Entity-Origin21
6279,The file contains a description of the settings that can be altered .,1,2,7,8,Message-Topic12
3230,"The team finishes the season with a 9-11 record , just short of tournament contention .",1,2,4,5,Other
3083,I'm using a fast and safe way to import cars to overseas .,9,10,11,12,Entity-Destination12
4817,They were allowed to use the top two steps of the ladder .,8,9,11,12,Component-Whole12
997,"An Israeli woman mistakenly threw out a mattress with money inside , setting off a frantic search through tons of garbage at a number of landfill sites .",7,8,9,10,Content-Container21
2242,A string of pack-ponies trotted through the pines behind them .,1,2,3,4,Member-Collection21
6324,"Diane Daly , multi-talented photographer , creates magic with her camera and intuitive eye .",4,5,10,11,Instrument-Agency21
4783,A popular local restaurant is the source of an outbreak linked to Salmonella .,3,4,9,10,Entity-Origin21
6719,Th animal rights activists have approached the open-air cages .,3,4,8,9,Entity-Destination12
48,"As in the popular movie ""Deep Impact"" , the action of the Perseid meteor shower is caused by a comet , in this case periodic comet Swift-Tuttle .",13,15,19,20,Cause-Effect21
7375,"Seller adds taxes as a separate line item on the seller</ invoice , when applicable .",10,11,11,12,Product-Producer21
5979,"Here , we analysed changes in heterozygosity over time in an insular mouflon (Ovis aries) population founded by two individuals in 1957 .",15,16,19,20,Other
5235,This author has just completed the first book on the topic : GIS in Hospital and Healthcare Emergency Management .,1,2,7,8,Product-Producer21
215,Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve .,0,1,18,19,Cause-Effect21
6740,The mechanism whereby air enters the skull could perhaps be compared to that in which air enters a bottle full of liquid .,18,19,21,22,Content-Container21
5511,"It is a 1956 crime drama examining the reactions of parents , police , and the public to a kidnapping .",5,6,8,9,Message-Topic12
7892,The contents of the cyst included a foul smelling gas and white-green pus .,4,5,9,10,Component-Whole21
2791,"To perform these exercises , the patient sits in a chair with the elbow supported on the edge of a table or on the arm of the chair .",24,25,27,28,Component-Whole12
4570,This storing capacity is due to the elasticity (flexibility to expand) of the walls of the veins .,13,14,16,17,Component-Whole12
